name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc
53,ratio,1,1,0,0,2,16,0,1,64,0.2,0,0.5424,0.6792,0.446,0.366,0.6051,0.4691
54,ratioNorm,1,1,0,0,2,16,0,1,64,0.2,0,0.5682,0.6837,0.5789,0.2549,0.625,0.469
55,indiv,1,1,0,0,2,16,0,1,64,0.2,0,0.506,0.6842,0.3516,0.3497,0.5598,0.4257
56,ratioNorm,1,1,0,1,2,16,0,1,64,0.2,0,0.5667,0.7268,0.5168,0.2712,0.6144,0.4591
57,ratio,1,1,0,0,3,16,0,1,64,0.2,0,0.5454,0.6994,0.4602,0.3039,0.6184,0.4533
58,ratioNorm,1,1,0,0,3,16,0,1,64,0.2,0,0.5627,0.7268,0.5006,0.3148,0.5678,0.4624
59,indiv,1,1,0,0,3,16,0,1,64,0.2,0,0.5502,0.7045,0.4534,0.3388,0.6104,0.4641
60,ratioNorm,1,1,0,1,3,16,0,1,64,0.2,0,0.5528,0.7106,0.4714,0.305,0.6157,0.4576
61,ratio,1,1,0,0,1,32,0,1,64,0.2,0,0.5486,0.7111,0.4534,0.3573,0.5598,0.462
62,ratioNorm,1,1,0,0,1,32,0,1,64,0.2,0,0.5656,0.7258,0.4708,0.3181,0.6503,0.4711
63,indiv,1,1,0,0,1,32,0,1,64,0.2,0,0.5073,0.6351,0.4826,0.2865,0.4947,0.4218
64,ratioNorm,1,1,0,1,1,32,0,1,64,0.2,0,0.5711,0.7415,0.5062,0.3224,0.5665,0.4683
65,ratio,1,1,0,0,2,32,0,1,64,0.2,0,0.561,0.7263,0.4876,0.3312,0.5652,0.4644
66,ratioNorm,1,1,0,0,2,32,0,1,64,0.2,0,0.5648,0.6832,0.5447,0.3453,0.5652,0.4829
67,indiv,1,1,0,0,2,32,0,1,64,0.2,0,0.5662,0.7233,0.4801,0.3431,0.6104,0.4757
68,ratioNorm,1,1,0,1,2,32,0,1,64,0.2,0,0.5675,0.738,0.4783,0.3529,0.5731,0.4731
69,ratio,1,1,0,0,3,32,0,1,64,0.2,0,0.5604,0.7076,0.5211,0.2723,0.6104,0.4581
70,ratioNorm,1,1,0,0,3,32,0,1,64,0.2,0,0.5599,0.6655,0.5429,0.3322,0.5971,0.4817
71,indiv,1,1,0,0,3,32,0,1,64,0.2,0,0.5519,0.7481,0.4311,0.3508,0.5412,0.4527
72,ratioNorm,1,1,0,1,3,32,0,1,64,0.2,0,0.5574,0.6853,0.5342,0.3333,0.5452,0.4711
73,ratio,1,1,0,0,1,64,0,1,64,0.2,0,0.5564,0.741,0.4857,0.3105,0.5239,0.4488
74,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,0,0.5604,0.6888,0.5155,0.2974,0.641,0.4707
75,indiv,1,1,0,0,1,64,0,1,64,0.2,0,0.5523,0.7172,0.472,0.342,0.5479,0.4597
76,ratioNorm,1,1,0,1,1,64,0,1,64,0.2,0,0.569,0.6893,0.6012,0.2832,0.5332,0.4692
77,ratio,1,1,0,0,2,64,0,1,64,0.2,0,0.5561,0.6913,0.5484,0.2985,0.5319,0.4594
78,ratioNorm,1,1,0,0,2,64,0,1,64,0.2,0,0.5707,0.7395,0.5068,0.3464,0.5386,0.4723
79,indiv,1,1,0,0,2,64,0,1,64,0.2,0,0.5526,0.6908,0.5093,0.2505,0.6516,0.4524
80,ratioNorm,1,1,0,1,2,64,0,1,64,0.2,0,0.5662,0.743,0.4702,0.3627,0.5559,0.4716
81,ratio,1,1,0,0,3,64,0,1,64,0.2,0,0.558,0.6817,0.528,0.3039,0.6077,0.4697
82,ratioNorm,1,1,0,0,3,64,0,1,64,0.2,0,0.5682,0.6873,0.5553,0.244,0.6795,0.4688
83,indiv,1,1,0,0,3,64,0,1,64,0.2,0,0.5427,0.6766,0.5224,0.3235,0.5027,0.4543
84,ratioNorm,1,1,0,1,3,64,0,1,64,0.2,0,0.5732,0.7821,0.4932,0.2331,0.6117,0.4417
85,ratio,1,1,0,0,1,16,1,1,64,0.2,0,0.55,0.7055,0.482,0.3617,0.5173,0.4633
86,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,0,0.5612,0.6934,0.5093,0.3595,0.5718,0.4803
87,indiv,1,1,0,0,1,16,1,1,64,0.2,0,0.5347,0.6984,0.4758,0.2908,0.5293,0.4348
88,ratioNorm,1,1,0,1,1,16,1,1,64,0.2,0,0.5549,0.6756,0.559,0.2658,0.5824,0.4581
89,ratio,1,1,0,0,2,16,1,1,64,0.2,0,0.5618,0.6817,0.5497,0.3181,0.5705,0.4744
90,ratioNorm,1,1,0,0,2,16,1,1,64,0.2,0,0.5665,0.7076,0.5242,0.3453,0.5572,0.4776
91,indiv,1,1,0,0,2,16,1,1,64,0.2,0,0.5188,0.666,0.4435,0.3235,0.5319,0.4354
92,ratioNorm,1,1,0,1,2,16,1,1,64,0.2,0,0.5662,0.7324,0.4988,0.3508,0.5372,0.4706
93,ratio,1,1,0,0,3,16,1,1,64,0.2,0,0.554,0.6913,0.4957,0.3148,0.6104,0.4658
94,ratioNorm,1,1,0,0,3,16,1,1,64,0.2,0,0.5629,0.7217,0.5012,0.2887,0.613,0.4606
95,indiv,1,1,0,0,3,16,1,1,64,0.2,0,0.5405,0.7405,0.4224,0.2407,0.6343,0.4239
96,ratioNorm,1,1,0,1,3,16,1,1,64,0.2,0,0.5757,0.7613,0.5143,0.2723,0.5904,0.4574
97,ratio,1,1,0,0,1,32,1,1,64,0.2,0,0.5564,0.6685,0.546,0.3431,0.5452,0.4769
98,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,0,0.578,0.6979,0.5783,0.3083,0.5918,0.4849
99,indiv,1,1,0,0,1,32,1,1,64,0.2,0,0.5376,0.6559,0.4969,0.3224,0.5771,0.4591
100,ratioNorm,1,1,0,1,1,32,1,1,64,0.2,0,0.5631,0.7258,0.5006,0.3878,0.484,0.4747
101,ratio,1,1,0,0,2,32,1,1,64,0.2,0,0.5467,0.7152,0.4963,0.2832,0.5346,0.4406
102,ratioNorm,1,1,0,0,2,32,1,1,64,0.2,0,0.5684,0.666,0.595,0.3083,0.5731,0.483
103,indiv,1,1,0,0,2,32,1,1,64,0.2,0,0.5511,0.6776,0.5087,0.3355,0.5731,0.4692
104,ratioNorm,1,1,0,1,2,32,1,1,64,0.2,0,0.5682,0.6964,0.5379,0.3333,0.5838,0.4811
105,ratio,1,1,0,0,3,32,1,1,64,0.2,0,0.5629,0.7405,0.4851,0.317,0.5638,0.4591
106,ratioNorm,1,1,0,0,3,32,1,1,64,0.2,0,0.5646,0.6893,0.5199,0.3192,0.633,0.4792
107,indiv,1,1,0,0,3,32,1,1,64,0.2,0,0.5515,0.6944,0.5217,0.2593,0.5971,0.4491
108,ratioNorm,1,1,0,1,3,32,1,1,64,0.2,0,0.5747,0.6776,0.5901,0.3148,0.5891,0.4885
109,ratio,1,1,0,0,1,64,1,1,64,0.2,0,0.5513,0.6863,0.541,0.2298,0.6117,0.4452
110,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,0,0.5719,0.743,0.5075,0.2603,0.641,0.4589
111,indiv,1,1,0,0,1,64,1,1,64,0.2,0,0.5606,0.6716,0.5453,0.3922,0.508,0.4892
112,ratioNorm,1,1,0,1,1,64,1,1,64,0.2,0,0.5719,0.7223,0.5702,0.2778,0.5399,0.4624
113,ratio,1,1,0,0,2,64,1,1,64,0.2,0,0.5593,0.6908,0.5453,0.3638,0.4827,0.4748
114,ratioNorm,1,1,0,0,2,64,1,1,64,0.2,0,0.5679,0.7359,0.5342,0.3148,0.508,0.4614
115,indiv,1,1,0,0,2,64,1,1,64,0.2,0,0.5698,0.7481,0.4932,0.2625,0.641,0.456
116,ratioNorm,1,1,0,1,2,64,1,1,64,0.2,0,0.5648,0.7679,0.4528,0.3617,0.5199,0.4613
117,ratio,1,1,0,0,3,64,1,1,64,0.2,0,0.5559,0.7152,0.5273,0.2375,0.5878,0.4423
118,ratioNorm,1,1,0,0,3,64,1,1,64,0.2,0,0.5681,0.7446,0.446,0.3028,0.6902,0.4674
119,indiv,1,1,0,0,3,64,1,1,64,0.2,0,0.5504,0.7025,0.4925,0.3475,0.5226,0.4615
120,ratioNorm,1,1,0,1,3,64,1,1,64,0.2,0,0.5747,0.703,0.5944,0.2876,0.5465,0.473
121,ratioNorm,1,1,0,1,2,16,1,1,32,0.2,0,0.5715,0.7162,0.5224,0.3333,0.5878,0.4792
122,ratioNorm,1,1,0,1,3,16,1,1,32,0.2,0,0.5601,0.7126,0.5168,0.3584,0.4987,0.4694
123,ratioNorm,1,1,0,1,4,16,1,1,32,0.2,0,0.5734,0.7587,0.4739,0.329,0.5984,0.4693
124,ratioNorm,1,1,0,1,2,32,1,1,32,0.2,0,0.5747,0.7248,0.5099,0.3072,0.6463,0.4776
125,ratioNorm,1,1,0,1,3,32,1,1,32,0.2,0,0.5656,0.7405,0.4708,0.281,0.6569,0.4591
126,ratioNorm,1,1,0,1,4,32,1,1,32,0.2,0,0.5724,0.7167,0.5571,0.256,0.613,0.4638
127,ratioNorm,1,1,0,1,2,16,1,2,32,0.2,0,0.5724,0.7081,0.5627,0.3312,0.5319,0.4785
128,ratioNorm,1,1,0,1,3,16,1,2,32,0.2,0,0.5694,0.7192,0.5031,0.3399,0.5984,0.4785
129,ratioNorm,1,1,0,1,4,16,1,2,32,0.2,0,0.5717,0.7111,0.5491,0.2821,0.6077,0.4702
130,ratioNorm,1,1,0,1,2,32,1,2,32,0.2,0,0.5759,0.7643,0.5186,0.3497,0.4801,0.4679
131,ratioNorm,1,1,0,1,3,32,1,2,32,0.2,0,0.5753,0.7364,0.5391,0.3061,0.5585,0.4695
132,ratioNorm,1,1,0,1,4,32,1,2,32,0.2,0,0.573,0.7516,0.4938,0.2952,0.613,0.464
133,ratioNorm,1,1,0,1,2,16,1,3,32,0.2,0,0.5702,0.707,0.5261,0.3791,0.5386,0.4879
134,ratioNorm,1,1,0,1,3,16,1,3,32,0.2,0,0.5639,0.7086,0.5323,0.2102,0.6835,0.4513
135,ratioNorm,1,1,0,1,4,16,1,3,32,0.2,0,0.5694,0.6868,0.5733,0.3192,0.5585,0.48
136,ratioNorm,1,1,0,1,2,32,1,3,32,0.2,0,0.5656,0.7334,0.5037,0.3268,0.5492,0.465
137,ratioNorm,1,1,0,1,3,32,1,3,32,0.2,0,0.5711,0.6989,0.6081,0.256,0.5412,0.463
138,ratioNorm,1,1,0,1,4,32,1,3,32,0.2,0,0.5724,0.7481,0.5398,0.3965,0.3963,0.4746
139,ratioNorm,1,1,0,1,2,16,1,1,64,0.2,0,0.5646,0.7451,0.4447,0.3366,0.6263,0.4678
140,ratioNorm,1,1,0,1,3,16,1,1,64,0.2,0,0.5614,0.7304,0.4578,0.3573,0.5891,0.4711
141,ratioNorm,1,1,0,1,4,16,1,1,64,0.2,0,0.5774,0.7299,0.5168,0.3203,0.621,0.4803
142,ratioNorm,1,1,0,1,2,32,1,1,64,0.2,0,0.5639,0.7557,0.459,0.2985,0.609,0.4545
143,ratioNorm,1,1,0,1,3,32,1,1,64,0.2,0,0.5612,0.6837,0.5677,0.3322,0.5053,0.4726
144,ratioNorm,1,1,0,1,4,32,1,1,64,0.2,0,0.5694,0.701,0.5484,0.2549,0.6529,0.4672
145,ratioNorm,1,1,0,1,2,16,1,2,64,0.2,0,0.5513,0.7005,0.5211,0.2745,0.5625,0.4487
146,ratioNorm,1,1,0,1,3,16,1,2,64,0.2,0,0.5694,0.7212,0.5441,0.2876,0.5691,0.4642
147,ratioNorm,1,1,0,1,4,16,1,2,64,0.2,0,0.5692,0.7212,0.536,0.3105,0.5572,0.4686
148,ratioNorm,1,1,0,1,2,32,1,2,64,0.2,0,0.5583,0.7628,0.4509,0.4085,0.4348,0.4619
149,ratioNorm,1,1,0,1,3,32,1,2,64,0.2,0,0.5682,0.7202,0.5031,0.3192,0.613,0.4732
150,ratioNorm,1,1,0,1,4,32,1,2,64,0.2,0,0.5566,0.742,0.4584,0.3878,0.4867,0.4642
151,ratioNorm,1,1,0,1,2,16,1,3,64,0.2,0,0.5597,0.7182,0.4938,0.3192,0.5785,0.4633
152,ratioNorm,1,1,0,1,3,16,1,3,64,0.2,0,0.5545,0.7126,0.5385,0.3431,0.4322,0.4565
153,ratioNorm,1,1,0,1,4,16,1,3,64,0.2,0,0.5633,0.7299,0.5745,0.2451,0.4907,0.4415
154,ratioNorm,1,1,0,1,2,32,1,3,64,0.2,0,0.5614,0.6964,0.5062,0.3399,0.5957,0.4766
155,ratioNorm,1,1,0,1,3,32,1,3,64,0.2,0,0.5677,0.7324,0.5553,0.2745,0.5199,0.4536
156,ratioNorm,1,1,0,1,4,32,1,3,64,0.2,0,0.5768,0.6974,0.6019,0.3736,0.4548,0.4907
157,ratioNorm,1,1,0,1,2,16,1,1,128,0.2,0,0.5772,0.7258,0.5335,0.3736,0.5293,0.4879
158,ratioNorm,1,1,0,1,3,16,1,1,128,0.2,0,0.5764,0.7076,0.5957,0.2876,0.5439,0.4733
159,ratioNorm,1,1,0,1,4,16,1,1,128,0.2,0,0.5707,0.6989,0.5143,0.3508,0.6237,0.4892
160,ratioNorm,1,1,0,1,2,32,1,1,128,0.2,0,0.5741,0.7537,0.5236,0.3279,0.512,0.466
161,ratioNorm,1,1,0,1,3,32,1,1,128,0.2,0,0.5652,0.7522,0.4236,0.3922,0.5891,0.477
162,ratioNorm,1,1,0,1,4,32,1,1,128,0.2,0,0.5781,0.7324,0.518,0.3017,0.6396,0.4773
163,ratioNorm,1,1,0,1,2,16,1,2,128,0.2,0,0.558,0.7319,0.5012,0.3083,0.5279,0.4525
164,ratioNorm,1,1,0,1,3,16,1,2,128,0.2,0,0.5684,0.7395,0.4646,0.3725,0.5811,0.4786
165,ratioNorm,1,1,0,1,4,16,1,2,128,0.2,0,0.566,0.6959,0.5807,0.2277,0.6064,0.4562
166,ratioNorm,1,1,0,1,2,32,1,2,128,0.2,0,0.5772,0.703,0.6286,0.2102,0.5851,0.46
167,ratioNorm,1,1,0,1,3,32,1,2,128,0.2,0,0.5593,0.6913,0.6062,0.1928,0.5598,0.4401
168,ratioNorm,1,1,0,1,4,32,1,2,128,0.2,0,0.5702,0.7243,0.5689,0.2255,0.5891,0.4511
169,ratioNorm,1,1,0,1,2,16,1,3,128,0.2,0,0.5559,0.7111,0.4882,0.3704,0.5199,0.4697
170,ratioNorm,1,1,0,1,3,16,1,3,128,0.2,0,0.5622,0.7623,0.4435,0.3344,0.5691,0.4569
171,ratioNorm,1,1,0,1,4,16,1,3,128,0.2,0,0.5709,0.7653,0.4689,0.281,0.633,0.4562
172,ratioNorm,1,1,0,1,2,32,1,3,128,0.2,0,0.5667,0.6929,0.5963,0.3083,0.488,0.4691
173,ratioNorm,1,1,0,1,3,32,1,3,128,0.2,0,0.57,0.6792,0.6019,0.2778,0.5718,0.4739
174,ratioNorm,1,1,0,1,4,32,1,3,128,0.2,0,0.5635,0.7055,0.5043,0.2821,0.6609,0.4669
175,ratioNorm,1,1,0,1,2,16,1,1,256,0.2,0,0.5667,0.7552,0.4944,0.2952,0.5585,0.4536
176,ratioNorm,1,1,0,1,3,16,1,1,256,0.2,0,0.5648,0.6868,0.5851,0.2625,0.5705,0.4633
177,ratioNorm,1,1,0,1,4,16,1,1,256,0.2,0,0.5783,0.7319,0.5137,0.2952,0.6596,0.4773
178,ratioNorm,1,1,0,1,2,32,1,1,256,0.2,0,0.565,0.7349,0.4764,0.4052,0.504,0.4793
179,ratioNorm,1,1,0,1,3,32,1,1,256,0.2,0,0.5768,0.7005,0.6012,0.2756,0.5678,0.4742
180,ratioNorm,1,1,0,1,4,32,1,1,256,0.2,0,0.57,0.7334,0.5161,0.3333,0.5452,0.4706
181,ratioNorm,1,1,0,1,2,16,1,2,256,0.2,0,0.5654,0.6944,0.5901,0.293,0.5066,0.465
182,ratioNorm,1,1,0,1,3,16,1,2,256,0.2,0,0.5568,0.6934,0.5596,0.329,0.4707,0.463
183,ratioNorm,1,1,0,1,4,16,1,2,256,0.2,0,0.5629,0.7364,0.5478,0.1438,0.6516,0.4258
184,ratioNorm,1,1,0,1,2,32,1,2,256,0.2,0,0.5633,0.7491,0.482,0.2473,0.6356,0.4455
185,ratioNorm,1,1,0,1,3,32,1,2,256,0.2,0,0.5705,0.738,0.5689,0.3007,0.4641,0.4576
186,ratioNorm,1,1,0,1,4,32,1,2,256,0.2,0,0.5589,0.7461,0.4783,0.3094,0.5452,0.4509
187,ratioNorm,1,1,0,1,2,16,1,3,256,0.2,0,0.5502,0.6356,0.6665,0.1623,0.5505,0.4385
188,ratioNorm,1,1,0,1,3,16,1,3,256,0.2,0,0.5502,0.6893,0.5217,0.2505,0.6117,0.448
189,ratioNorm,1,1,0,1,4,16,1,3,256,0.2,0,0.5365,0.7263,0.4429,0.342,0.4761,0.4375
190,ratioNorm,1,1,0,1,2,32,1,3,256,0.2,0,0.5589,0.702,0.5224,0.281,0.6011,0.4595
191,ratioNorm,1,1,0,1,3,32,1,3,256,0.2,0,0.5465,0.6853,0.4584,0.3322,0.633,0.4655
192,ratioNorm,1,1,0,1,4,32,1,3,256,0.2,0,0.549,0.6645,0.5056,0.3246,0.613,0.4706
193,ratioNorm,1,1,0,1,2,16,1,1,32,0.3,0,0.5623,0.7207,0.5087,0.293,0.5904,0.46
194,ratioNorm,1,1,0,1,3,16,1,1,32,0.3,0,0.5662,0.6746,0.5689,0.2843,0.6197,0.4758
195,ratioNorm,1,1,0,1,4,16,1,1,32,0.3,0,0.5583,0.6969,0.4845,0.3115,0.6543,0.4705
196,ratioNorm,1,1,0,1,2,32,1,1,32,0.3,0,0.5713,0.7273,0.4863,0.3638,0.5971,0.4836
197,ratioNorm,1,1,0,1,3,32,1,1,32,0.3,0,0.5713,0.7354,0.4981,0.3192,0.6051,0.4717
198,ratioNorm,1,1,0,1,4,32,1,1,32,0.3,0,0.5762,0.744,0.4739,0.3595,0.6197,0.4843
199,ratioNorm,1,1,0,1,2,16,1,2,32,0.3,0,0.569,0.738,0.5155,0.3235,0.5399,0.4658
200,ratioNorm,1,1,0,1,3,16,1,2,32,0.3,0,0.5762,0.7547,0.5137,0.3028,0.5758,0.4659
201,ratioNorm,1,1,0,1,4,16,1,2,32,0.3,0,0.574,0.7415,0.4988,0.3137,0.613,0.4719
202,ratioNorm,1,1,0,1,2,32,1,2,32,0.3,0,0.5648,0.7486,0.5118,0.342,0.4681,0.4588
203,ratioNorm,1,1,0,1,3,32,1,2,32,0.3,0,0.5677,0.7278,0.5149,0.3464,0.5306,0.4719
204,ratioNorm,1,1,0,1,4,32,1,2,32,0.3,0,0.5692,0.7136,0.5522,0.2974,0.5585,0.4677
205,ratioNorm,1,1,0,1,2,16,1,3,32,0.3,0,0.5629,0.7192,0.5292,0.2233,0.6396,0.4479
206,ratioNorm,1,1,0,1,3,16,1,3,32,0.3,0,0.5549,0.7192,0.4652,0.3845,0.5239,0.4701
207,ratioNorm,1,1,0,1,4,16,1,3,32,0.3,0,0.5561,0.7385,0.4789,0.2832,0.5758,0.446
208,ratioNorm,1,1,0,1,2,32,1,3,32,0.3,0,0.5722,0.7501,0.5323,0.3268,0.4907,0.4636
209,ratioNorm,1,1,0,1,3,32,1,3,32,0.3,0,0.5646,0.7405,0.4851,0.3377,0.5505,0.4648
210,ratioNorm,1,1,0,1,4,32,1,3,32,0.3,0,0.5698,0.7081,0.5385,0.2996,0.6037,0.4729
211,ratioNorm,1,1,0,1,2,16,1,1,64,0.3,0,0.5627,0.7253,0.518,0.2331,0.6343,0.448
212,ratioNorm,1,1,0,1,3,16,1,1,64,0.3,0,0.5663,0.7116,0.5205,0.317,0.5878,0.4717
213,ratioNorm,1,1,0,1,4,16,1,1,64,0.3,0,0.562,0.7177,0.4503,0.3344,0.6702,0.4747
214,ratioNorm,1,1,0,1,2,32,1,1,64,0.3,0,0.5681,0.6934,0.5832,0.2974,0.5372,0.4707
215,ratioNorm,1,1,0,1,3,32,1,1,64,0.3,0,0.5703,0.7228,0.5292,0.2876,0.6037,0.4668
216,ratioNorm,1,1,0,1,4,32,1,1,64,0.3,0,0.57,0.6716,0.5826,0.2952,0.6117,0.4824
217,ratioNorm,1,1,0,1,2,16,1,2,64,0.3,0,0.5633,0.7126,0.5224,0.2963,0.5851,0.4635
218,ratioNorm,1,1,0,1,3,16,1,2,64,0.3,0,0.569,0.7775,0.4342,0.3562,0.5705,0.4646
219,ratioNorm,1,1,0,1,4,16,1,2,64,0.3,0,0.5528,0.7207,0.5627,0.2397,0.4734,0.4314
220,ratioNorm,1,1,0,1,2,32,1,2,64,0.3,0,0.5568,0.7339,0.5143,0.1732,0.6516,0.4273
221,ratioNorm,1,1,0,1,3,32,1,2,64,0.3,0,0.5595,0.7217,0.5056,0.3192,0.5426,0.46
222,ratioNorm,1,1,0,1,4,32,1,2,64,0.3,0,0.5681,0.7516,0.4658,0.2919,0.6423,0.4601
223,ratioNorm,1,1,0,1,2,16,1,3,64,0.3,0,0.5557,0.6782,0.5422,0.3475,0.5173,0.4729
224,ratioNorm,1,1,0,1,3,16,1,3,64,0.3,0,0.5566,0.6999,0.5068,0.378,0.5053,0.4743
