,bidir,numFC,numRNN,sizeFC,dropout,sizeRNN,weighted,whichFFT,batch_size,customLoss,initial_lr,remove_mean,weight_decay,whichDataset,whichDisplacement,replace_nan_by_min
60,False,1,2,32,0.09237015493907616,32,False,True,1024,False,0.01,False,1e-05,indiv,displacement,False
61,True,2,2,8,0.13287803794028313,16,True,True,1024,False,0.01,False,0.0001,indiv,None,True
62,False,1,1,32,0.09755357594583489,16,True,False,215,False,0.001,False,0.001,ratio,xyPosition,True
63,True,1,2,16,0.10949411345874949,32,True,True,2048,False,0.001,False,1e-05,indiv,displacement,True
64,True,2,1,32,0.1852311738680928,16,False,False,4096,False,0.01,False,1e-05,ratioNorm,displacement,True
65,False,2,2,16,0.10347988392989756,32,True,True,2048,False,0.01,False,0.0001,indiv,None,False
66,True,2,1,8,0.0634955479373433,32,True,False,128,False,0.001,False,0.0001,indiv,None,False
67,True,1,1,16,0.1598088349343098,8,False,False,128,False,0.01,False,0.001,ratio,displacement,False
68,False,2,1,32,0.1071307101247512,16,False,True,2048,False,0.01,False,1e-05,indiv,displacement,True
69,True,1,2,8,0.09125070616880296,16,True,True,4096,False,0.01,False,0.0001,ratioNorm,displacement,False
70,False,2,2,16,0.16186105616285365,16,True,False,1024,False,0.001,False,0.001,ratioNorm,None,False
71,False,1,2,8,0.07801399151174487,16,False,True,4096,False,0.001,False,0.001,ratioNorm,displacement,False
72,True,1,2,32,0.14619678460210017,8,True,True,256,False,0.001,False,0.001,ratioNorm,displacement,True
73,False,1,2,32,0.08115301022819686,8,True,False,215,False,0.01,False,0.001,ratioNorm,None,False
74,True,2,2,8,0.08185964783737905,32,True,True,4096,False,0.001,False,1e-05,ratio,displacement,False
75,True,2,1,8,0.07106304201760615,16,True,True,4096,False,0.001,False,1e-05,indiv,None,True
76,False,1,1,8,0.061682619285154554,8,True,True,128,False,0.01,False,0.0001,ratioNorm,xyPosition,False
77,False,1,2,32,0.07999892117668336,16,False,False,215,False,0.01,False,0.001,ratio,None,True
78,True,1,2,32,0.1463191937657614,32,False,True,4096,False,0.001,False,1e-05,ratio,xyPosition,True
79,False,2,1,8,0.17358679551374506,16,True,True,1024,False,0.01,False,1e-05,ratioNorm,None,False
80,False,1,2,32,0.1772444339220673,16,False,False,1024,False,0.01,False,0.0001,indiv,xyPosition,False
81,False,2,2,16,0.11882114642700307,32,True,False,4096,False,0.001,False,0.001,ratioNorm,None,False
82,True,2,1,8,0.16683453822016142,32,True,False,256,False,0.01,False,0.001,ratioNorm,displacement,False
83,True,1,1,16,0.0927427506804063,8,True,False,256,False,0.001,False,0.001,ratioNorm,displacement,False
84,True,1,2,8,0.13064346260700005,8,False,False,215,False,0.01,False,0.001,indiv,xyPosition,False
85,False,2,2,8,0.07003690280907185,16,True,True,215,False,0.001,False,1e-05,ratio,None,False
86,False,1,2,32,0.17828778880372825,8,False,False,2048,False,0.001,False,0.0001,indiv,displacement,True
87,True,2,1,32,0.18027803835236825,32,False,True,2048,False,0.01,False,1e-05,ratio,displacement,False
88,False,2,1,32,0.15318888127085584,16,False,False,1024,False,0.01,False,1e-05,ratio,None,False
89,False,1,1,8,0.054044124547454664,32,False,False,128,False,0.001,False,0.0001,ratioNorm,None,True
90,True,2,2,16,0.0692275684166867,8,True,True,215,False,0.01,False,0.001,indiv,xyPosition,False
91,True,1,1,16,0.1825363768611263,8,False,False,1024,False,0.01,False,0.001,ratioNorm,xyPosition,True
92,True,1,1,32,0.08389025099990882,8,True,True,1024,False,0.001,False,0.001,indiv,xyPosition,False
93,False,1,2,32,0.06579284661085605,16,True,False,256,False,0.01,False,1e-05,ratio,xyPosition,False
94,False,2,1,32,0.1875602059069804,16,False,True,256,False,0.001,False,1e-05,ratio,displacement,False
95,True,2,2,8,0.08620445584156805,16,True,True,1024,False,0.01,False,0.0001,ratio,None,True
96,True,2,2,8,0.07418638209618313,32,True,False,1024,False,0.001,False,1e-05,indiv,None,False
97,True,2,2,32,0.09485301337767608,16,True,True,2048,False,0.001,False,0.001,indiv,None,False
98,True,2,2,16,0.1467777096377871,8,True,False,128,False,0.01,False,0.0001,indiv,None,False
99,False,1,1,16,0.19776809038476975,8,False,False,256,False,0.001,False,1e-05,indiv,xyPosition,False
100,True,1,1,8,0.1534466393025858,16,False,True,256,False,0.01,False,1e-05,ratioNorm,displacement,True
101,True,1,1,32,0.19592366193639948,8,True,True,215,False,0.001,False,0.0001,ratio,displacement,True
102,True,2,1,8,0.16833133439463577,8,False,False,215,False,0.001,False,0.001,indiv,displacement,True
103,False,1,2,16,0.11811700474241262,16,False,False,1024,False,0.001,False,0.0001,indiv,xyPosition,False
104,True,1,1,16,0.05221679597892617,8,False,True,128,False,0.001,False,1e-05,ratio,xyPosition,True
105,True,1,1,8,0.12847747609317972,8,False,True,215,False,0.001,False,0.0001,ratioNorm,xyPosition,False
106,True,1,1,16,0.15701702771857706,32,False,False,2048,False,0.001,False,0.0001,ratioNorm,xyPosition,True
107,True,1,1,8,0.19771455481465225,16,True,True,215,False,0.001,False,0.0001,ratioNorm,displacement,False
108,True,1,2,16,0.15992860231715636,8,True,True,215,False,0.01,False,0.0001,ratio,xyPosition,False
109,False,1,1,8,0.12202572295335495,16,False,True,215,False,0.001,False,0.001,ratioNorm,displacement,False
110,False,1,2,32,0.07210736641739189,16,False,True,2048,False,0.01,False,0.001,ratioNorm,None,True
111,False,2,2,32,0.07226984184980255,32,False,False,1024,False,0.001,False,0.0001,indiv,None,False
112,True,1,1,32,0.08774354268782372,32,False,False,256,False,0.01,False,0.0001,ratio,displacement,False
113,True,2,2,32,0.16493708037095267,8,True,True,4096,False,0.01,False,0.001,ratioNorm,xyPosition,True
114,False,2,2,16,0.08771957799794174,32,True,True,215,False,0.001,False,1e-05,ratioNorm,None,True
115,True,2,1,8,0.058961397026240994,32,True,False,2048,False,0.001,False,0.0001,ratio,xyPosition,False
116,False,1,1,8,0.1965447849777639,32,True,True,4096,False,0.001,False,0.001,ratio,xyPosition,False
117,True,2,2,16,0.05485748575144178,8,True,False,215,False,0.01,False,1e-05,indiv,displacement,True
118,False,2,2,8,0.08947532440025528,16,True,True,128,False,0.001,False,0.0001,indiv,displacement,False
119,True,1,2,16,0.08608350100676859,16,False,False,128,False,0.001,False,0.001,indiv,xyPosition,False
120,False,1,2,16,0.1715652536557546,8,False,True,256,False,0.01,False,0.0001,indiv,displacement,False
121,True,1,1,32,0.16254571855060468,8,True,True,4096,False,0.001,False,0.0001,indiv,xyPosition,True
122,True,2,2,32,0.16760230264383497,8,False,True,128,False,0.001,False,0.0001,indiv,xyPosition,True
123,False,1,1,32,0.08137209692723374,8,False,False,215,False,0.001,False,0.0001,ratio,None,True
124,False,1,2,16,0.09953091983263827,32,True,True,4096,False,0.001,False,0.001,ratio,displacement,False
125,False,1,2,16,0.0531287233244882,32,False,True,4096,False,0.001,False,0.001,ratioNorm,xyPosition,False
126,False,2,2,16,0.07602538230442756,32,False,False,4096,False,0.001,False,0.0001,ratioNorm,displacement,True
127,False,2,1,8,0.1506808398755239,32,False,True,128,False,0.01,False,1e-05,ratioNorm,xyPosition,True
128,False,1,2,32,0.09935746837144772,16,False,False,2048,False,0.01,False,0.001,ratioNorm,None,False
129,False,1,1,32,0.194895671307152,8,False,True,215,False,0.001,False,0.0001,indiv,displacement,True
130,False,1,2,32,0.1059447515948285,8,False,False,215,False,0.001,False,0.001,indiv,None,False
131,False,1,2,16,0.08949088047002915,8,True,True,215,False,0.001,False,0.001,ratioNorm,displacement,True
132,False,2,2,32,0.05791421222412516,16,False,False,2048,False,0.001,False,1e-05,indiv,None,True
133,False,1,2,8,0.11765956431787768,32,True,True,256,False,0.01,False,0.001,ratioNorm,None,True
134,True,2,2,32,0.09791902452777068,8,True,True,4096,False,0.001,False,0.001,ratioNorm,None,True
135,True,2,2,8,0.11910266331603162,16,False,True,1024,False,0.001,False,1e-05,ratioNorm,None,True
136,True,2,2,32,0.08651456878095914,32,False,False,128,False,0.01,False,0.0001,ratio,displacement,True
137,True,1,2,32,0.05783755641592569,16,False,False,1024,False,0.001,False,0.001,ratioNorm,displacement,True
138,True,2,2,32,0.11958984411011364,8,False,True,1024,False,0.001,False,0.0001,ratioNorm,xyPosition,False
139,True,1,1,16,0.12284891410203988,16,False,True,4096,False,0.01,False,0.001,indiv,xyPosition,False
140,False,1,2,32,0.09828396277899272,8,True,True,2048,False,0.01,False,1e-05,indiv,xyPosition,True
141,True,2,2,16,0.10885779888986924,16,False,True,256,False,0.01,False,0.0001,ratioNorm,None,True
142,False,2,2,8,0.10138840967777772,32,False,True,256,False,0.001,False,0.0001,ratio,None,False
143,False,2,1,32,0.11442376251284209,8,True,True,1024,False,0.001,False,0.0001,ratio,xyPosition,False
144,True,1,2,16,0.0682871473432222,8,True,False,2048,False,0.001,False,0.001,ratioNorm,xyPosition,False
145,True,2,2,32,0.11697896171992785,16,False,False,4096,False,0.001,False,0.001,ratioNorm,None,True
146,True,2,2,16,0.09250275060027358,16,True,True,256,False,0.01,False,0.0001,ratioNorm,None,True
147,False,1,2,16,0.05038675372447124,32,False,False,256,False,0.001,False,0.0001,ratio,None,True
148,False,2,1,16,0.0976204755756523,32,False,False,1024,False,0.01,False,0.0001,indiv,None,True
149,True,1,2,32,0.08745376428086886,16,False,False,1024,False,0.01,False,0.001,ratioNorm,None,True
150,True,1,1,16,0.06087776082193081,32,False,True,4096,False,0.001,False,0.001,ratio,None,True
151,True,1,2,32,0.08205486806560647,32,False,False,256,False,0.01,False,0.001,ratioNorm,None,False
152,True,2,2,32,0.07467406358576317,16,False,False,256,False,0.01,False,0.001,ratio,None,False
153,False,1,2,16,0.06875162109408296,8,True,False,256,False,0.001,False,0.001,ratioNorm,None,True
154,True,1,1,16,0.16459665047872213,16,False,False,1024,False,0.01,False,1e-05,ratioNorm,xyPosition,False
155,False,1,2,16,0.10652923268800069,32,False,False,215,False,0.01,False,0.001,ratioNorm,None,False
156,False,1,2,32,0.05586342789951383,16,False,False,4096,False,0.001,False,0.001,indiv,None,False
157,False,2,1,8,0.1537345799174521,8,False,True,2048,False,0.001,False,0.001,ratioNorm,None,False
158,False,2,2,16,0.11642077935675832,32,False,False,4096,False,0.01,False,0.001,ratioNorm,None,True
159,True,2,2,16,0.1482662645819393,16,False,False,4096,False,0.01,False,0.001,ratioNorm,None,False
160,False,2,2,32,0.09167601933280715,32,True,False,215,False,0.001,False,0.001,ratioNorm,None,True
161,False,1,1,32,0.09960476674227396,8,False,False,4096,False,0.001,False,0.0001,ratioNorm,None,True
162,True,1,2,32,0.14735554871608453,16,True,False,1024,False,0.001,False,0.001,indiv,None,False
163,True,1,2,16,0.11650464708339536,16,True,False,215,False,0.001,False,0.001,indiv,None,False
164,False,1,2,32,0.0787512575728756,32,False,False,215,False,0.01,False,0.001,ratioNorm,None,False
165,True,1,2,8,0.05424489483046101,16,False,False,215,False,0.001,False,0.001,ratioNorm,None,True
166,True,2,2,32,0.1114273334230313,8,False,True,1024,False,0.001,False,0.001,indiv,None,False
167,True,2,1,16,0.050276665526144904,32,True,True,2048,False,0.001,False,0.001,ratioNorm,None,True
168,False,1,2,16,0.06567023509009319,16,True,True,1024,False,0.001,False,0.001,ratioNorm,None,True
169,False,2,2,8,0.05621070135521822,32,True,True,256,False,0.01,False,0.001,indiv,None,True
170,True,2,2,8,0.05095528044379883,16,True,False,1024,False,0.001,False,0.001,indiv,None,False
171,False,2,2,16,0.09155035128883776,16,True,True,215,False,0.01,False,0.0001,indiv,None,False
172,True,1,2,16,0.05731059522283936,16,False,True,2048,False,0.01,False,0.0001,indiv,None,False
173,False,1,1,16,0.09595319544694196,16,True,False,2048,False,0.001,False,0.001,ratioNorm,None,False
174,True,2,2,16,0.05900476752825581,16,False,False,256,False,0.01,False,0.001,indiv,None,False
175,True,1,2,32,0.08133092415417058,16,False,False,2048,False,0.001,False,0.001,ratioNorm,None,True
176,True,2,2,32,0.06916494895710533,32,True,False,128,False,0.01,False,0.001,ratioNorm,None,False
177,False,2,2,32,0.05273731728937312,16,True,False,4096,False,0.01,False,0.001,ratioNorm,None,True
178,False,1,2,32,0.06238461615234949,8,True,True,4096,False,0.01,False,0.001,ratio,None,True
179,True,2,2,32,0.061628745124935415,32,True,False,2048,False,0.001,False,0.001,ratioNorm,None,False
180,False,2,2,32,0.1314802283701234,32,False,False,256,False,0.001,False,0.0001,indiv,None,True
181,True,2,2,32,0.0744201843369716,32,True,False,215,False,0.001,False,0.001,ratioNorm,None,False
182,True,1,1,16,0.055453919876858826,8,True,False,256,False,0.001,False,0.0001,ratioNorm,None,True
183,False,1,2,16,0.10116440428226028,16,True,True,215,False,0.001,False,0.001,indiv,None,False
184,False,1,2,32,0.06834073998931588,16,True,False,215,False,0.001,False,0.001,indiv,None,True
185,True,1,2,8,0.056200412369636306,8,False,True,215,False,0.001,False,0.001,ratioNorm,displacement,True
186,False,2,2,16,0.06239116403480585,32,False,True,4096,False,0.001,False,0.001,ratioNorm,None,True
187,False,2,1,16,0.14239891149329373,32,True,False,1024,False,0.01,False,0.001,ratioNorm,None,False
188,True,2,3,32,0.14100292470901557,16,False,True,256,False,0.001,False,0.001,ratio,xyPosition,True
189,True,3,3,8,0.10721299176428434,32,False,True,128,False,0.001,False,0.0001,ratio,xyPosition,True
190,False,2,3,64,0.0764406391366799,8,False,True,256,False,0.01,False,1e-05,ratio,xyPosition,False
191,True,3,2,16,0.05201064299875322,8,False,False,128,False,0.01,False,0.001,ratioNorm,xyPosition,True
192,True,3,1,8,0.08686366636848204,8,False,True,128,False,0.01,False,0.0001,ratioNorm,xyPosition,False
193,False,2,3,64,0.11368621001745184,64,True,True,215,False,0.01,False,1e-05,ratioNorm,displacement,True
194,True,2,1,8,0.09514560979536246,64,False,False,128,False,0.001,False,0.001,indiv,xyPosition,False
195,False,3,3,16,0.05526024049351318,16,False,False,1024,False,0.01,False,1e-05,ratio,displacement,False
196,True,3,1,8,0.0897030961657716,8,False,True,128,False,0.001,False,1e-05,ratioNorm,displacement,False
197,False,1,1,16,0.1830289196551773,32,True,True,1024,False,0.001,False,0.001,indiv,xyPosition,True
198,False,3,2,8,0.09826385537138366,16,False,False,2048,False,0.001,False,0.0001,indiv,xyPosition,True
199,True,1,3,16,0.07929207190680582,16,False,True,4096,False,0.001,False,0.0001,ratio,displacement,False
200,False,2,2,32,0.07013249356628716,16,True,True,215,False,0.01,False,1e-05,ratio,xyPosition,False
201,False,1,2,8,0.14824270954637697,32,True,True,256,False,0.01,False,0.0001,ratioNorm,displacement,False
202,False,2,2,64,0.091559275863319,16,True,False,256,False,0.01,False,1e-05,indiv,xyPosition,False
203,True,2,2,8,0.06067983899570911,32,False,True,1024,False,0.01,False,0.001,indiv,displacement,False
204,True,1,3,16,0.10708476865998832,64,True,True,1024,False,0.01,False,1e-05,indiv,displacement,False
205,True,2,2,16,0.08485142312538091,8,True,False,2048,False,0.001,False,1e-05,ratioNorm,displacement,False
206,True,1,3,16,0.12066681770651393,64,True,True,1024,False,0.01,False,0.001,ratioNorm,xyPosition,False
207,False,3,3,16,0.15483996987854676,8,True,False,256,False,0.01,False,0.001,ratioNorm,xyPosition,True
208,False,1,2,16,0.19284867869785344,32,False,False,215,False,0.001,False,1e-05,indiv,displacement,True
209,True,1,1,8,0.08056073199885444,8,True,False,128,False,0.01,False,0.0001,ratioNorm,xyPosition,True
210,False,3,1,64,0.0743970823682362,16,True,False,2048,False,0.01,False,0.001,ratioNorm,displacement,True
211,False,1,3,16,0.06203174788136188,32,False,False,1024,False,0.001,False,0.0001,ratioNorm,xyPosition,False
212,True,1,1,8,0.05972977503855488,32,True,False,128,False,0.01,False,0.0001,indiv,displacement,True
213,True,3,3,8,0.18608204307691645,32,True,True,4096,False,0.001,False,0.0001,ratioNorm,xyPosition,False
214,True,1,3,32,0.07014082833558606,8,True,False,4096,False,0.01,False,1e-05,ratio,displacement,False
215,True,2,1,32,0.11654785627396104,64,False,False,128,False,0.01,False,0.0001,indiv,xyPosition,True
216,True,3,2,64,0.13795645262015074,16,True,False,128,False,0.001,False,1e-05,ratioNorm,displacement,True
217,True,1,1,16,0.19816138541100392,8,True,False,2048,False,0.01,False,0.001,ratioNorm,displacement,True
218,True,1,3,16,0.16841403714955938,16,True,False,4096,False,0.001,False,0.001,indiv,displacement,False
219,False,2,2,8,0.12863336663133002,16,False,False,128,False,0.001,False,0.001,indiv,displacement,True
220,False,2,3,8,0.1506880465826359,64,False,True,1024,False,0.001,False,0.001,indiv,xyPosition,False
221,True,2,1,32,0.10459637383953256,8,False,False,128,False,0.01,False,1e-05,indiv,displacement,False
222,False,2,3,32,0.11973272211337162,32,True,False,4096,False,0.001,False,1e-05,ratioNorm,displacement,False
223,True,2,1,16,0.0875683457596638,16,False,True,1024,False,0.01,False,0.0001,indiv,displacement,True
224,False,3,1,64,0.17887599804034232,8,False,True,2048,False,0.001,False,0.0001,ratioNorm,displacement,False
225,True,2,1,8,0.13122425883444322,8,True,True,2048,False,0.01,False,1e-05,ratioNorm,xyPosition,True
226,False,3,2,64,0.15060389464291044,64,True,False,2048,False,0.01,False,1e-05,ratio,displacement,False
227,False,3,3,64,0.1069591104099066,32,False,False,2048,False,0.001,False,1e-05,indiv,displacement,False
228,False,2,3,64,0.05820523305711281,16,True,True,2048,False,0.01,False,1e-05,indiv,displacement,True
229,True,1,1,8,0.1686822676356328,8,True,False,215,False,0.001,False,0.0001,ratio,xyPosition,True
230,False,2,1,32,0.05025827860754008,64,True,False,4096,False,0.01,False,0.0001,ratio,xyPosition,False
231,True,1,2,16,0.19290173482916517,32,False,False,128,False,0.01,False,0.0001,ratioNorm,xyPosition,True
232,True,2,3,8,0.09807051900936684,64,True,True,256,False,0.01,False,0.001,indiv,xyPosition,True
233,True,2,2,8,0.140704123058306,64,False,True,128,False,0.01,False,1e-05,ratioNorm,xyPosition,True
234,False,3,3,64,0.14783046837881308,64,False,True,1024,False,0.01,False,0.0001,indiv,xyPosition,False
235,True,1,1,64,0.191147212981652,16,True,False,256,False,0.01,False,1e-05,ratio,displacement,True
236,False,3,3,8,0.1824215514547315,64,True,False,4096,False,0.01,False,0.001,indiv,displacement,False
237,True,3,3,32,0.10657499483070904,8,True,True,2048,False,0.001,False,0.0001,ratioNorm,displacement,False
238,False,3,3,64,0.15750940749322162,8,False,False,1024,False,0.001,False,1e-05,indiv,displacement,True
239,True,3,3,8,0.09631875707494464,32,True,False,215,False,0.01,False,1e-05,ratio,xyPosition,True
240,False,2,3,32,0.06370297903850196,32,True,True,215,False,0.01,False,0.001,indiv,displacement,False
241,False,2,1,64,0.15437052468869794,64,True,False,215,False,0.001,False,0.0001,ratioNorm,xyPosition,False
242,True,1,2,64,0.10524974858117588,64,False,False,2048,False,0.01,False,0.0001,ratio,displacement,True
243,True,3,3,64,0.1679017183363748,32,True,True,2048,False,0.001,False,0.0001,indiv,displacement,True
244,True,1,3,64,0.1425176282682581,8,False,True,2048,False,0.01,False,0.0001,ratio,displacement,False
245,True,3,2,64,0.07809957855176794,32,False,False,128,False,0.01,False,0.0001,ratio,xyPosition,True
246,True,2,3,8,0.08023097712658052,32,True,True,215,False,0.01,False,0.0001,ratioNorm,displacement,False
247,False,1,2,16,0.111267184886778,64,False,False,2048,False,0.01,False,0.001,ratio,xyPosition,True
248,True,2,1,64,0.08447150986691335,32,True,True,4096,False,0.001,False,0.0001,ratioNorm,xyPosition,True
249,True,2,1,8,0.15657501577100277,32,True,False,2048,False,0.001,False,0.001,indiv,xyPosition,False
250,True,1,3,64,0.14868140682983616,64,True,False,4096,False,0.01,False,1e-05,ratioNorm,xyPosition,True
251,False,3,2,16,0.1833471286620505,16,True,True,1024,False,0.001,False,1e-05,indiv,xyPosition,True
252,True,1,2,8,0.1699388630806511,8,True,True,128,False,0.01,False,0.001,ratio,displacement,False
253,False,2,2,8,0.15123625930158935,32,False,False,256,False,0.01,False,0.0001,indiv,xyPosition,True
254,True,2,1,32,0.18685901877333572,64,True,False,256,False,0.01,False,1e-05,ratioNorm,xyPosition,True
255,True,3,1,8,0.19173715929077095,16,True,False,256,False,0.001,False,0.0001,indiv,displacement,False
256,False,3,2,64,0.17742393490891684,8,True,False,4096,False,0.001,False,1e-05,ratioNorm,displacement,True
257,False,2,2,8,0.13007794067036327,64,True,False,256,False,0.01,False,1e-05,indiv,xyPosition,True
258,False,1,2,64,0.13897955940490195,64,False,False,1024,False,0.01,False,0.0001,ratio,xyPosition,False
259,False,3,1,16,0.07180271343524039,64,False,False,4096,False,0.01,False,0.001,ratio,xyPosition,True
260,False,2,3,64,0.1075350873450723,16,True,True,4096,False,0.001,False,1e-05,ratioNorm,xyPosition,False
261,False,1,3,8,0.11710029289100966,8,True,False,1024,False,0.01,False,0.001,ratioNorm,xyPosition,False
262,False,1,3,16,0.09745333545239676,16,True,False,4096,False,0.001,False,0.001,indiv,xyPosition,True
263,True,2,2,8,0.10365187376547796,32,True,False,215,False,0.001,False,1e-05,ratio,xyPosition,True
264,False,1,1,16,0.078089027159943,16,False,False,215,False,0.01,False,0.0001,indiv,displacement,True
265,False,3,1,16,0.07237408317873427,64,True,False,1024,False,0.001,False,1e-05,ratio,xyPosition,True
266,False,1,1,16,0.18789652701180132,16,False,False,256,False,0.01,False,0.0001,ratio,xyPosition,False
267,True,3,1,64,0.13422827528808784,8,True,True,256,False,0.01,False,1e-05,ratioNorm,displacement,True
268,False,2,3,16,0.1848427947223216,16,True,True,1024,False,0.01,False,0.0001,ratioNorm,xyPosition,True
